date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:12	129923/129923	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:08%20GMT	http://mydahlia.co.kr/category/fragrance/93/?page=1	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/fragrance/93/index2679.html	(from http://mydahlia.co.kr/category/fragrance/93/)
16:38:12	73680/73680	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2002:30:13%20GMT	http://mydahlia.co.kr/web/product/medium/201907/5592698d4248976e103969256502f41b.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/201907/5592698d4248976e103969256502f41b.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:21	78580/78580	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2002:39:34%20GMT	http://mydahlia.co.kr/web/product/medium/201907/abd85259d2ff4524440ae77403e23c45.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/201907/abd85259d2ff4524440ae77403e23c45.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:25	80131/80131	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2002:41:41%20GMT	http://mydahlia.co.kr/web/product/medium/201907/017fa4928b08aa88188944300b273feb.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/201907/017fa4928b08aa88188944300b273feb.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:25	78164/78164	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2003:26:43%20GMT	http://mydahlia.co.kr/web/product/medium/202104/84b2a43276862cf500f1c329e8849ed4.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/202104/84b2a43276862cf500f1c329e8849ed4.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:26	100049/100049	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:19%20GMT	http://mydahlia.co.kr/category/fragrance/93/?page=3	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/fragrance/93/index9ba9.html	(from http://mydahlia.co.kr/category/fragrance/93/)
16:38:29	31917/31917	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:24%20GMT	http://mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%b2%a0%eb%a6%ac-%eb%a6%b4%eb%a6%ac-18ml/141/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%b2%a0%eb%a6%ac-%eb%a6%b4%eb%a6%ac-18ml/141/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:30	31908/31908	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:24%20GMT	http://mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%8b%a4%eb%a7%88%ec%8a%a4%ed%81%ac-%eb%a1%9c%ec%a6%88-18ml/140/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%8b%a4%eb%a7%88%ec%8a%a4%ed%81%ac-%eb%a1%9c%ec%a6%88-18ml/140/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:31	33141/33141	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:25%20GMT	http://mydahlia.co.kr/product/%eb%a6%ac%ec%96%bc-%ed%8d%bc%ed%93%b8-%eb%b0%94%eb%94%94%eb%a1%9c%ec%85%98-%eb%b2%a0%eb%a6%ac-%eb%a6%b4%eb%a6%ac-500ml/130/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%a6%ac%ec%96%bc-%ed%8d%bc%ed%93%b8-%eb%b0%94%eb%94%94%eb%a1%9c%ec%85%98-%eb%b2%a0%eb%a6%ac-%eb%a6%b4%eb%a6%ac-500ml/130/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:35	135002/135002	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:29%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5&page=1	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/indexe990.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:36	135084/135084	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:29%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5&page=2	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/indexa4ed.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:41	134684/134684	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:34%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5&page=3	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/index5bd9.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=5)
16:38:42	87651/87651	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2006:43:31%20GMT	http://mydahlia.co.kr/web/product/medium/202110/82c04009c34f92bd16f3da1af1bdf7fa.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/202110/82c04009c34f92bd16f3da1af1bdf7fa.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:38:49	88661/88661	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2006:43:17%20GMT	http://mydahlia.co.kr/web/product/medium/202110/5fa8664b12beb3e904df7d44f7cdcb45.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/202110/5fa8664b12beb3e904df7d44f7cdcb45.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:38:50	33011/33011	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:42%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ea%b7%b8%eb%a0%88%ec%9d%b4%ed%94%84%ed%94%84%eb%a3%bb-150ml/106/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ea%b7%b8%eb%a0%88%ec%9d%b4%ed%94%84%ed%94%84%eb%a3%bb-150ml/106/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:55	33252/33252	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:48%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%eb%9d%bc%eb%b2%a4%eb%8d%94-150ml/92/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%eb%9d%bc%eb%b2%a4%eb%8d%94-150ml/92/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
